date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-10-19,1124,4318,3078041,712.839509031959,,0.154484817164179,,0.171246,,82.803862,,0,0,,0,,9.06833585,,,,,,31112484745,536,1006,3430892423.139251,,7698664.40725631,,15519071.457404,,7744856393.699848,,,,
2017-10-20,1477,4320,3014858,697.883796296296,,0.158857797163121,,0.171246,,111.994747,,0,0,,0,,22.03420557,,,,,,31112484745,705,1332,1412008462.992945,,5269140.05107458,,14636408.275236,,7018494548.031338,,,,
2017-10-21,1204,4320,3079218,712.781944444444,,0.146205809688581,,0.17107,,84.506958,,0,0,,0,,36.75456623,,,,,,31112484745,578,1064,846493046.516708,,4718279.84317586,,14060008.926086,,5020249753.139116,,,,
2017-10-22,1118,4320,2940786,680.7375,,0.146676754352031,,0.171246,,75.831882,,0,0,,0,,32.30394535,,,,,,31112484745,517,952,963117179.854836,,4741018.24479923,,13588036.576438,,4513449369.048864,,,,
2017-10-23,657,4320,3006959,696.055324074074,,0.142732744966443,,0.171246,,42.534358,,0,0,,0,,39.90816185,,,,,,31112484745,298,536,779602048.873423,,4413523.40856757,,7026162.538965,,2365648546.992215,,,,
2017-10-24,1556,4320,3155727,730.492361111111,,0.159184407563025,,0.171246,,113.657667,,0,0,,0,,28.73283812,,,,,,31112484745,714,1360,1082819755.39864,,3826327.77062947,,7921343.964825,,5203805768.056081,,,,
2017-10-25,941,4320,2913460,674.412037037037,,0.155973346067416,,0.171246,,69.408139,,0,0,,0,,34.4356403,,,,,,31112484745,445,842,903496623.72778,,5264006.96580939,,12203597.470204,,4432293865.211508,,,,
2017-10-26,910,4320,3028777,701.105787037037,,0.155690645687646,,0.171246,,66.791287,,0,0,,0,,32.07557574,,,,,,31112484745,429,808,969974319.266541,,5167860.14227755,,11796801.466058,,4175630994.960258,,,,
2017-10-27,960,4320,2916947,675.219212962963,,0.155622893333333,,0.171246,,70.030302,,0,0,,0,,48.5225632,,,,,,31112484745,450,849,641196233.167179,,3775073.90207359,,11241581.294889,,3205037742.860476,,,,
2017-10-28,791,4320,3033641,702.231712962963,,0.158325317204301,,0.171246,,58.897018,,0,0,,0,,44.79314412,,,,,,31112484745,372,710,694581399.742104,,4478549.26197491,,11008860.470028,,3179769976.002185,,,,
